Player,Nation,Pos,Age,Caps,Starts,Min,90s,Goals,Assists,Non PK-Goals,PK Goals,PK Attempt,CrdY,CrdR,Gls per 90Min,Ast per 90Min,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Alisson,BRA,GK,29,29,29,2610,29,0,1,0,0,0,0,0,0,0.03,0.03,0,0.03,0,0,0.4,0.4,0,0.02,0.02,0,0.02
Virgil van Dijk,NED,DF,30,29,29,2610,29,3,1,3,0,0,3,0,0.1,0.03,0.14,0.1,0.14,2.1,2.1,0.3,2.3,0.07,0.01,0.08,0.07,0.08
Mohamed Salah,EGY,FW,29,29,27,2418,26.9,20,11,15,5,6,1,0,0.74,0.41,1.15,0.56,0.97,19.1,14.4,9.3,23.7,0.71,0.35,1.06,0.54,0.88
Trent Alexander-Arnold,ENG,DF,23,27,27,2403,26.7,2,12,2,0,0,1,0,0.07,0.45,0.52,0.07,0.52,2.3,2.3,9.9,12.2,0.09,0.37,0.46,0.09,0.46
Sadio Mané,SEN,FW,30,28,26,2332,25.9,13,1,13,0,0,3,0,0.5,0.04,0.54,0.5,0.54,14.9,14.9,3.6,18.5,0.57,0.14,0.71,0.57,0.71
Joël Matip,CMR,DF,30,25,25,2250,25,1,2,1,0,0,1,0,0.04,0.08,0.12,0.04,0.12,2,2,0.8,2.7,0.08,0.03,0.11,0.08,0.11
Jordan Henderson,ENG,MF,31,28,25,2170,24.1,2,5,2,0,0,3,0,0.08,0.21,0.29,0.08,0.29,1.4,1.4,3.6,5,0.06,0.15,0.21,0.06,0.21
Andrew Robertson,SCO,DF,28,24,24,2114,23.5,1,10,1,0,0,5,1,0.04,0.43,0.47,0.04,0.47,1.5,1.5,4.8,6.3,0.06,0.21,0.27,0.06,0.27
Fabinho,BRA,MF,28,24,22,2001,22.2,5,1,3,2,2,6,0,0.22,0.04,0.27,0.13,0.18,3.3,1.8,0.8,2.5,0.15,0.03,0.18,0.08,0.11
Diogo Jota,POR,FW,25,28,22,1909,21.2,15,1,15,0,0,2,0,0.71,0.05,0.75,0.71,0.75,14.4,14.4,4.2,18.6,0.68,0.2,0.88,0.68,0.88
Thiago Alcántara,ESP,MF,31,19,13,1188,13.2,1,2,1,0,0,2,0,0.08,0.15,0.23,0.08,0.23,1.6,1.6,1.7,3.3,0.12,0.13,0.25,0.12,0.25
Naby Keïta,GUI,MF,27,16,10,843,9.4,2,1,2,0,0,1,0,0.21,0.11,0.32,0.21,0.32,1.2,1.2,1.1,2.4,0.13,0.12,0.25,0.13,0.25
Roberto Firmino,BRA,FW,30,18,9,887,9.9,5,3,5,0,0,3,0,0.51,0.3,0.81,0.51,0.81,4.8,4.8,2,6.7,0.48,0.2,0.68,0.48,0.68
Alex Oxlade-Chamberlain,ENG,MFFW,28,17,9,785,8.7,2,1,2,0,0,0,0,0.23,0.11,0.34,0.23,0.34,1.2,1.2,0.9,2.1,0.14,0.11,0.24,0.14,0.24
Ibrahima Konaté,FRA,DF,22,8,8,720,8,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.01,0.01,0.03,0.01,0.03
Curtis Jones,ENG,MF,21,13,8,700,7.8,1,1,1,0,0,0,0,0.13,0.13,0.26,0.13,0.26,0.7,0.7,0.6,1.3,0.09,0.07,0.17,0.09,0.17
Kostas Tsimikas,GRE,DF,25,10,7,670,7.4,0,2,0,0,0,2,0,0,0.27,0.27,0,0.27,0.5,0.5,1.7,2.2,0.07,0.23,0.3,0.07,0.3
James Milner,ENG,MFDF,36,20,7,636,7.1,0,1,0,0,0,2,0,0,0.14,0.14,0,0.14,0.2,0.2,1.4,1.7,0.03,0.2,0.23,0.03,0.23
Luis Díaz,COL,FW,25,7,6,517,5.7,2,0,2,0,0,0,0,0.35,0,0.35,0.35,0.35,2.3,2.3,1,3.4,0.41,0.18,0.58,0.41,0.58
Harvey Elliott,ENG,MF,19,5,3,282,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.3,1,0.22,0.1,0.32,0.22,0.32
Joe Gomez,ENG,DF,24,6,2,196,2.2,0,1,0,0,0,1,0,0,0.46,0.46,0,0.46,0,0,0.3,0.3,0,0.15,0.15,0,0.15
Caoimhín Kelleher,IRL,GK,23,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Morton,ENG,MF,19,2,1,66,0.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Takumi Minamino,JPN,FWMF,27,10,0,96,1.1,2,0,2,0,0,1,0,1.87,0,1.87,1.87,1.87,1.5,1.5,0.4,1.9,1.4,0.42,1.82,1.4,1.82
Divock Origi,BEL,FW,26,5,0,76,0.8,2,0,2,0,0,0,0,2.37,0,2.37,2.37,2.37,0.8,0.8,0,0.8,1.01,0,1.01,1.01,1.01
Kaide Gordon,ENG,FW,17,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,4.48,0,4.48,4.48,4.48
Neco Williams,WAL,DF,21,1,0,8,0.1,0,1,0,0,0,0,0,0,11.25,11.25,0,11.25,0,0,0.6,0.6,0,6.5,6.5,0,6.5
Adrián,ESP,GK,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Owen Beck,WAL,DF,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
